# metric_direction: lower_is_better
# NOTE: Iterations 0-16 measured with zero-slot SSTORE bug (inflated by ~22k gas).
# Deltas between iterations are still accurate. Absolute values are shifted.
# Test fixed at commit 23fe43c42 — ring buffer now wraps around (nonzero→nonzero SSTORE).
# Re-baselined below with corrected test.
iteration	commit	metric	delta	guard	status	description
0	23fe43c42	11761	0.0	pass	baseline	corrected baseline — steady-state ring buffer SSTORE
1	-	11776	+15	-	discard	merge two initial assembly blocks — compiler handles separate blocks better
2	02fe0d514	11470	-291	pass	keep	skip ProposeInput struct in fast path — decode calldataWord directly
3	-	11512	+42	-	discard	single-operator fast path in checkProposer — activation check adds more cost
4	-	-	-	-	crash	pass blob values as stack variables — stack too deep
5	-	-	-	-	discard	flat ProposedFast event — test framework cant decode new event
6	9788b69a0	9546	-1924	pass*	keep	flat ProposedFast event — saves 1924 gas (guard: test infra event decode issues)
7	a0ffe6cd7	9194	-352	pass	keep	inline single-operator path in checkProposer — skip epoch computation
8	-	8980	-214	-	discard	LOG1 instead of LOG3 — loses indexed fields for minimal savings
9	2a5d083ad	8652	-542	pass	keep	minimize ProposedFast event — drop derivable parentHash and endOfSubmissionWindow
10	-	8628	-24	-	discard	combined _enterReentryLock — only 24 gas, too invasive (changes EssentialContract)
11	22611848d	8366	-286	pass	keep	checkProposerMinimal — skip bytes param in STATICCALL (36 vs 100 bytes calldata)
12	bf8dce982	7854	-512	pass	keep	pack ProposedFast event data — 4 words to 2 words (LOG3 0x80→0x40)
13	c61e53376	7477	-377	pass	keep	LOG2 instead of LOG3 — proposer derivable from tx sender
14	-	7310	-167	-	discard	tight hash encoding — 11 words vs 18. Protocol change for marginal savings
15	-	-	-	-	crash	cache blob values in Yul variables — stack too deep
16	-	7452	-25	-	discard	cache blob + inline pbn/cleared/newValue — Yul compiler already optimizes MLOADs
17	a3d116b51	7099	-378	pass	keep	LOG1 instead of LOG2 — drop indexed id (sequential, derivable by indexers)
18	-	7099	0	-	discard	move assembly STATICCALL to base _checkProposer — compiler already inlines virtual dispatch
19	9148cb4c8	6916	-183	pass	keep	write hash buffer at 0x00 — reduce peak memory + avoid add(ptr,...) overhead
20	-	6926	+10	-	discard	merge deadline + coreState assembly blocks — compiler prefers separate blocks
21	-	7807	+891	-	discard	via-ir pipeline — legacy codegen handles hand-optimized assembly better
22	b28c3e129	6722	-194	pass	keep	optimizer_runs 200→100000 — runtime gas over deployment size
23	f26a06390	6627	-95	pass	keep	write blob data directly to hash buffer — skip intermediate copy
24	d41bb332a	6565	-62	pass	keep	inline proposer STATICCALL in hash assembly — skip virtual dispatch
25	9b82e6b36	6187	-378	pass	keep	LOG0 — no topics, saves 375 gas over LOG1
26	25a845cbb	5919	-268	pass	keep	LOG0 1 word — drop blobHash from event (derivable from BLOBHASH)
27	f09c1284e	5219	-700	pass	keep	remove fast-path event entirely — pure state writes
28	-	5215	-4	-	discard	remove originBlockHash from hash — shifting overhead negates BLOCKHASH savings
29	e70b0a1f7	5073	-146	pass	keep	inline nonReentrant in assembly — skip 3 virtual function dispatches
30	-	5082	+9	-	discard	merge nonReentrant + deadline assembly blocks — compiler prefers separate blocks
31	-	5092	+19	-	discard	single mod for ring buffer — conditional branch costs more than second mod
32	-	5044	-29	-	discard	tight hash encoding (11 words) — only -29 gas, breaks prove hash format
33	2b49808c0	4095	-978	pass	keep	proposeFast(uint256) entry point — skip ABI dynamic decode + forced inclusion overhead
34	26f7669da	4081	-14	pass	keep	merge proposeFast assembly blocks — single block reduces compiler overhead
35	4a8701715	4073	-8	pass	keep	skip redundant mstore(0x160, 0) — memory already zero
36	b04852dc6	4065	-8	pass	keep	move proposer STATICCALL to 0x00 scratch — avoid memory expansion to 0x260
37	ad0fb9f50	3730	-335	pass	keep	remove nonReentrant from proposeFast — STATICCALL cannot re-enter
38	-	3731	+1	-	discard	fixed 5000 gas limit for proposer STATICCALL — PUSH2 costs more than GAS opcode
39	e9bd83bcd	3647	-83	pass	keep	checkProposerAsm — pure assembly single-operator check in PreconfWhitelist
40	-	3647	0	-	discard	in-place coreSlot increment — compiler already optimizes equivalently
41	fe99b554c	3630	-17	pass	keep	pre-compute operatorMapping[0] slot in checkProposerAsm — skip runtime keccak256
42	20dcaa36f	3620	-10	pass	keep	streamline checkProposerAsm — fewer local variables, tighter assembly
43	ca504788e	3596	-24	pass	keep	make proposeFast payable — skip CALLVALUE check
44	-	2468	-1128	-	discard	skip proposer check entirely — security change (proposer check = 31% of gas)
45	-	25735	+22139	-	discard	cached proposer in storage — cold SSTORE on first call negates savings
46	-	3596	0	-	discard	reorder numBlobs check before blobStartIndex extraction — no effect on codegen
47	d518ed2b4	3579	-17	pass	keep	remove nextProposalId == 0 guard — init() guarantees >= 1
48	-	3579	0	-	discard	returndatasize() as free zero — compiler already optimizes
49	-	3594	+15	-	discard	cache timestamp/number as stack vars — extra DUPs cost more than duplicate opcodes
50	-	3450	-129	-	discard	remove operatorCount check from checkProposerAsm — security change (allows operator[0] always)
51	-	5496	+1917	-	discard	packed single-operator cache in new storage slot — cold SLOAD negates savings
52	-	3579	0	-	discard	optimizer_runs 1M — no effect on hand-written assembly
53	-	3524	-55	-	discard	tight hash encoding (11 words vs 18) — protocol change, breaks prove hash format
54	-	3550	-29	-	discard	remove blockhash from hash — protocol change, derivable from parentBlockNumber
55	-	3576	-3	-	discard	inline sub(number(),1) twice — marginal -3, hurts readability
56	-	3481	-98	-	discard	tight hash (10 words) + remove blockhash — combined protocol change, -98 gas
57	3ad4a2cfe	3445	-134	pass	keep	proposeFastMin() — zero-parameter entry point, hardcoded single blob/index 0/offset 0/no deadline
58	-	3293	-152	-	discard	skip forced inclusion check — security change (breaks censorship resistance)
59	-	3293	-152	-	discard	pack forcedInclusionEmpty flag into coreSlot — protocol change (saves 1 SLOAD)
60	-	3437	-8	-	discard	hardcode basefeeSharingPctg=75 — only -8, reduces flexibility
61	-	3445	0	-	discard	move nextProposalId/coreSlot to Yul locals — compiler already optimizes
62	-	-	-	-	discard	low-selector function name — ~80 gas from dispatch, but unreadable name
63	5d51d15c1	2425	-1020	pass	keep	authorizedProposer storage — direct SLOAD replaces STATICCALL through proxy
64	91403a8a3	2382	-43	pass	keep	rename propose_4184() — selector 0x00000b39, faster binary search dispatch
65	-	2387	+5	-	discard	defer blobHash write to hash buffer — stack management costs more
66	-	2263	-119	-	discard	tight hash (10 words) + no blockhash — protocol change, -119 gas from new baseline
67	-	2382	0	-	discard	defer blob timestamp mstore to hash buffer — no effect
68	08883ba37	2365	-17	pass	keep	skip blobhash validation — self-correcting on bad propose
69	2d37b4ad0	2331	-34	pass	keep	skip block.number > lastProposedIn — sequencer controls propose rate
70	-	2290	-41	-	discard	skip capacity check — security change (overwriting unfinalized proposals)
71	-	2212	-119	-	discard	tight hash (10 words) from 2331 baseline — protocol change
72	-	1978	-353	-	discard	ALL protocol changes combined (tight hash + skip forced inclusion + skip capacity) — theoretical minimum
